Name,Hash,Id,Tag,Rarity,Tier,Type,Source,Category,Element,Ammo,Power,Archetype,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Holofoil,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Persistence,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Ammo Generation,Heat Generated,Cooling Efficiency,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18
Eternity's Edge,2782325301,"""6917530194257079590""",,Legendary,0,Sword,engram,Power,Solar,heavy,478,Vortex Frame,Impact,4,Vault,false,false,false,4,14,,0,0,62,0,0,0,0,0,0,0,0,73,0,0,0,0,20,40,100,40,0,0,0,0,0,false,0,0,,,,Vortex Frame*,Hungry Edge*,Enduring Blade,Tempered Edge,Infinite Guard*,Relentless Strikes*,Surrounded*,Kill Tracker,Tier 5: Impact*,,,,,,,,,,
Exuviae,2823644677,"""6917530194254863134""",,Legendary,0,Hand Cannon,revenant,KineticSlot,Stasis,primary,478,Aggressive Frame,Stability,5,Vault,false,false,false,7,25,,100,61,92,71,14,0,0,0,42,120,29,8,27,0,0,0,0,0,0,0,0,25,54,0,0,false,0,0,,,,Aggressive Frame*,Chambered Compensator*,Polygonal Rifling,Accurized Rounds*,Flared Magwell,Lone Wolf*,Precision Instrument*,Dark Ether Reaper*,Kill Tracker,Tier 5: Stability*,,,,,,,,,
Eyasluna,386864872,"""6917530197514017804""",,Legendary,5,Hand Cannon,30th,KineticSlot,Stasis,primary,550,Adaptive Frame,Range,5,Vault,false,false,false,8,28,,100,85,84,63,14,0,0,0,74,140,45,11,71,0,0,0,0,0,0,0,0,10,54,0,0,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Corkscrew Rifling,High-Caliber Rounds*,Flared Magwell,Firefly*,Meganeura,Rangefinder,Chaos Reshaped*,Crystalline Corpsebloom,Precision Instrument,Unburied Treasure*,Kill Tracker,Tier 5: Range*,Triumphant Pulse*,,,,
Eyasluna,386864872,"""6917530197515728720""",,Legendary,5,Hand Cannon,30th,KineticSlot,Stasis,primary,550,Adaptive Frame,Reload Speed,5,Vault,false,false,false,8,28,,96,85,84,64,14,0,0,0,80,140,50,11,64,0,0,0,0,0,0,0,0,10,54,0,0,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Armor-Piercing Rounds*,Light Mag,Elemental Capacitor*,Slideshot,Rangefinder,Chaos Reshaped*,Moving Target,Collective Action,Unburied Treasure*,Kill Tracker,Tier 5: Reload Speed*,Triumphant Pulse*,,,,
Fafnir,2197778303,"""6917530192283258461""",,Exotic,1,Linear Fusion Rifle,monumentoftriumph,Power,Void,heavy,550,Quantum Nova,,,Vault,true,false,false,8,28,,33,65,70,70,18,0,0,0,53,0,27,3,22,1066,0,0,0,0,0,0,0,14,29,0,0,false,0,63,,,,Quantum Nova*,Hammer-Forged Rifling*,Projection Fuse*,Subatomic Distortion*,Hand-Laid Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,
Fair Judgment,4113452819,"""6917530193209800489""",,Legendary,3,Auto Rifle,monumentoftriumph,KineticSlot,Stasis,primary,410,Precision Frame,Stability,3,Vault,false,false,false,8,28,,72,34,29,64,16,0,0,0,53,450,43,33,50,0,0,0,0,0,0,0,0,17,51,0,0,false,0,0,,,,Precision Frame*,Corkscrew Rifling*,Polygonal Rifling,Alloy Magazine*,Flared Magwell,Enlightened Action*,Slideshot,Onslaught*,Rangefinder,Vanguard Determination*,Kill Tracker,Tier 3: Stability*,,,,,,,
Fair Judgment,4113452819,"""6917530194832162303""",keep,Legendary,5,Auto Rifle,monumentoftriumph,KineticSlot,Stasis,primary,540,Precision Frame,Stability,10,Vault,false,false,false,8,28,,82,34,29,75,16,0,0,0,60,450,30,39,41,0,0,0,0,0,0,0,0,27,51,0,0,false,0,16,,,,Precision Frame*,Extended Barrel*,Polygonal Rifling,Extended Mag*,Ricochet Rounds,Rimestealer*,Keep Away,Slideshot,Onslaught*,Rangefinder,Kill Clip,Vanguard Determination*,Kill Tracker,Masterworked: Stability*,Triumphant Pulse*,,,,
Falling Guillotine,2480871539,"""6917530193787386986""",,Legendary,4,Sword,brave,Power,Void,heavy,439,Vortex Frame,Impact,4,Vault,false,false,false,8,28,,0,0,62,0,0,0,0,0,0,0,0,70,0,0,0,0,20,41,63,40,0,0,0,0,0,false,0,0,,,,Vortex Frame*,Hungry Edge*,Enduring Blade,Honed Edge,Balanced Guard*,Swordmaster's Guard,Chain Reaction*,Repulsor Brace,Sword Logic*,Surrounded,Indomitability*,Kill Tracker,Tier 5: Impact*,,,,,,
Falling Guillotine,2480871539,"""6917530193794132389""",,Legendary,4,Sword,brave,Power,Void,heavy,439,Vortex Frame,Impact,3,Vault,false,false,false,8,28,,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,20,46,43,40,0,0,0,0,0,false,0,0,,,,Vortex Frame*,Hungry Edge*,Enduring Blade,Honed Edge,Balanced Guard*,Swordmaster's Guard,Vorpal Weapon*,Repulsor Brace,Elemental Honing*,Destabilizing Rounds,Indomitability*,Kill Tracker,Tier 3: Impact*,,,,,,
Falling Guillotine,2480871539,"""6917530193798344673""",,Legendary,4,Sword,brave,Power,Void,heavy,440,Vortex Frame,Impact,10,Titan(542),true,false,false,8,28,,0,0,66,0,0,0,0,0,0,0,0,70,0,0,0,0,14,76,66,40,0,0,0,0,0,false,0,9,,,,Vortex Frame*,Hungry Edge*,Honed Edge,Tempered Edge,Heavy Guard*,Swordmaster's Guard,Attrition Orbs*,Relentless Strikes,Sword Logic,Eager Edge*,Indomitability*,Kill Tracker,Masterworked: Impact*,,,,,,
Falling Guillotine,2480871539,"""6917530193963490156""",,Legendary,5,Sword,brave,Power,Void,heavy,455,Vortex Frame,Impact,3,Vault,false,false,false,8,28,,0,0,59,0,0,0,0,0,0,0,0,73,0,0,0,0,20,41,43,40,0,0,0,0,0,false,0,0,,,,Vortex Frame*,Enduring Blade*,Jagged Edge,Tempered Edge,Balanced Guard*,Burst Guard,Attrition Orbs*,Vorpal Weapon,Repulsor Brace,Sword Logic*,Bait and Switch,Destabilizing Rounds,Indomitability*,Kill Tracker,Tier 3: Impact*,Triumphant Pulse*,,,
False Idols,4207120603,"""6917530192604476034""",,Legendary,0,Sword,paleheart,Power,Solar,heavy,374,Vortex Frame,Impact,1,Vault,true,false,false,7,24,,0,0,58,0,0,0,0,0,0,0,0,73,0,0,0,0,20,40,40,40,0,0,0,0,0,false,0,0,,,,Vortex Frame*,Enduring Blade*,Honed Edge,Jagged Edge,Balanced Guard*,Heavy Guard,Incandescent*,Burning Ambition*,Dealer's Choice*,Kill Tracker,Tier 1: Impact*,,,,,,,,
False Idols,4207120603,"""6917530192796588054""",,Legendary,0,Sword,paleheart,Power,Solar,heavy,377,Vortex Frame,Impact,4,Vault,true,false,false,7,24,,0,0,62,0,0,0,0,0,0,0,0,70,0,0,0,0,20,40,40,40,0,0,0,0,0,false,0,0,,,,Vortex Frame*,Hungry Edge*,Jagged Edge,Tempered Edge,Balanced Guard*,Burst Guard,Attrition Orbs*,Bait and Switch*,Dealer's Choice*,Kill Tracker,Tier 5: Impact*,,,,,,,,
False Idols,4207120603,"""6917530193848731562""",,Legendary,0,Sword,paleheart,Power,Solar,heavy,446,Vortex Frame,Impact,2,Vault,false,false,false,7,24,,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,20,0,90,40,0,0,0,0,0,false,0,0,,,,Vortex Frame*,Hungry Edge*,Enduring Blade,Tempered Edge,Enduring Guard*,Swordmaster's Guard,Incandescent*,Burning Ambition*,Dealer's Choice*,Kill Tracker,Tier 2: Impact*,,,,,,,,
Festival Flight,4019651319,"""6917530194916675200""",,Legendary,5,Grenade Launcher,events,KineticSlot,Strand,special,511,Area Denial Frame,Handling,3,Vault,false,false,false,8,27,Solstice,80,74,0,0,13,95,100,0,19,72,75,1,67,0,0,0,0,0,0,0,0,4,69,0,0,false,0,0,suros,,,Area Denial Frame*,Hard Launch*,Smart Drift Control,High-Velocity Rounds*,Implosion Rounds,Transcendent Moment,Ambitious Assassin,Slice*,One for All*,Vorpal Weapon,Elemental Honing,Dream Work*,Suros Synergy,Kill Tracker,Tier 3: Handling*,Achronal Festival Flight*,Sparks Everlasting*,,
Festival Flight,4019651319,"""6917530194916677227""",,Legendary,5,Grenade Launcher,events,KineticSlot,Strand,special,550,Area Denial Frame,Handling,10,Hunter(542),true,false,false,8,27,Solstice,100,74,0,0,13,100,96,0,44,72,80,1,90,0,0,0,0,0,0,0,0,4,69,0,0,false,0,2019,suros,"00002:Gambit,Strike",,Area Denial Frame*,Countermass*,Hard Launch,High-Velocity Rounds*,Implosion Rounds,Demolitionist,Transcendent Moment,Slice*,Frenzy,Vorpal Weapon,Attrition Orbs*,Dream Work*,Suros Synergy,Kill Tracker,Aerodynamics*,Masterworked: Handling*,Achronal Festival Flight*,Sparks Everlasting*,
Fighting Lion,3549153978,"""6917530193846395104""",,Exotic,0,Grenade Launcher,,Energy,Void,primary,550,Delayed Gratification,,10,Hunter(542),true,false,false,1,1,,90,80,0,0,13,90,50,0,75,90,0,1,100,0,0,0,0,0,0,0,0,12,40,0,0,false,0,309,,00001:Solar,,Delayed Gratification*,Countermass*,Implosion Rounds*,Thin the Herd*,Short-Action Stock*,Kill Tracker,Fighting Lion Catalyst*,,,,,,,,,,,,
Final Warning,3121540812,"""6917530195520779676""",,Exotic,0,Sidearm,exoticquest,KineticSlot,Strand,primary,540,All at Once,,10,Vault,false,false,false,6,20,,60,88,35,45,12,0,0,0,66,450,48,21,47,1000,0,0,0,0,0,0,0,27,50,0,0,false,0,925,,,,All at Once*,Hammer-Forged Rifling*,Flared Magwell*,Pick Your Poison*,Combat Grip*,Kill Tracker,Final Warning Catalyst*,,,,,,,,,,,,
Finality's Auger,331231237,"""6917530196432859853""",,Exotic,0,Linear Fusion Rifle,dungeon,Power,Solar,heavy,550,Ruinscribe's Forge,,10,Vault,true,false,false,7,26,,100,65,41,50,25,0,0,0,55,0,30,6,56,533,0,0,0,0,0,0,0,11,39,0,0,false,0,453,,,,Ruinscribe's Forge*,Arrowhead Brake*,Particle Repeater*,Ruinscribe's Beacon*,Short-Action Stock*,Kill Tracker,Finality's Auger Catalyst*,,,,,,,,,,,,
Forbearance,3736001860,"""6917530193954051287""",,Legendary,5,Grenade Launcher,brave,Energy,Arc,special,450,Wave Frame,Velocity,2,Vault,false,false,false,8,28,,73,79,0,0,13,61,78,0,42,72,82,1,70,0,0,0,0,0,0,0,0,4,67,0,0,false,0,0,,,,Wave Frame*,Confined Launch*,Quick Launch,High-Velocity Rounds*,Implosion Rounds,Overflow*,Redirection,Ambitious Assassin,Desperate Measures*,Voltshot,Frenzy,Indomitability*,Kill Tracker,Tier 2: Velocity*,Triumphant Pulse*,,,,
Forced Memorializer,1197073834,"""6917530197106632872""",,Legendary,5,Scout Rifle,pinnacleops,KineticSlot,Kinetic,primary,540,Precision Frame,Reload Speed,2,Vault,false,false,false,8,27,,73,63,62,45,20,0,0,0,56,180,51,17,37,0,0,0,0,0,0,0,0,10,48,0,0,false,0,0,,,,Precision Frame*,Chambered Compensator*,Hammer-Forged Rifling,Appended Mag*,Steady Rounds,Bewildering Burst*,Explosive Payload,Shoot to Loot,Elemental Honing*,Kinetic Tremors,To the Pain,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 2: Reload Speed*,Ferrous Forced Memorializer*,Sparks Everlasting*,,
Forced Memorializer,1197073834,"""6917530197106641348""",,Legendary,5,Scout Rifle,pinnacleops,KineticSlot,Kinetic,primary,540,Precision Frame,Handling,2,Vault,false,false,false,8,27,,93,63,62,45,20,0,0,0,45,180,34,18,55,0,0,0,0,0,0,0,0,20,48,0,0,false,0,0,,,,Precision Frame*,Arrowhead Brake*,Polygonal Rifling,Extended Mag*,Steady Rounds,Explosive Payload*,Rapid Hit,Lone Wolf,Elemental Honing*,Multikill Clip,Kinetic Tremors,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 2: Handling*,Ferrous Forced Memorializer*,Sparks Everlasting*,,
Forerunner,2179048386,"""6917530197101195778""",,Exotic,0,Sidearm,30th,KineticSlot,Kinetic,special,540,Full Stop,,,Vault,false,false,false,4,15,,96,60,35,100,20,0,0,0,87,200,95,15,65,0,0,0,0,0,0,0,0,30,56,0,0,false,0,0,,,,Full Stop*,Smallbore*,Flared Magwell*,Pace Yourself*,Smooth Grip*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,
Fortunate Star,2631466936,"""6917530194912379572""",,Legendary,5,Combat Bow,events,Energy,Void,primary,511,Lightweight Frame,Handling,1,Vault,false,false,false,8,27,Solstice,52,77,68,0,18,0,0,0,76,0,60,0,86,0,567,39,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,Agile Bowstring*,Tactile String,Carbon Arrow Shaft*,Natural Fletching,Impromptu Ammunition*,Archer's Tempo,Successful Warm-Up,Explosive Head*,Sword Logic,Archer's Gambit,Dream Work*,Veist Stinger,Kill Tracker,Tier 1: Handling*,Achronal Fortunate Star*,Sparks Everlasting*,,
Fortunate Star,2631466936,"""6917530194914398211""",,Legendary,5,Combat Bow,events,Energy,Void,primary,511,Lightweight Frame,Handling,2,Vault,false,false,false,8,27,Solstice,52,77,68,0,18,0,0,0,66,0,60,0,71,0,600,55,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,High Tension String*,Natural String,Carbon Arrow Shaft*,Fiberglass Arrow Shaft,Impromptu Ammunition*,Killing Wind,Successful Warm-Up,Explosive Head*,Eye of the Storm,Archer's Gambit,Dream Work*,Veist Stinger,Kill Tracker,Tier 2: Handling*,Achronal Fortunate Star*,Sparks Everlasting*,,
Fortunate Star,2631466936,"""6917530194914401782""",,Legendary,5,Combat Bow,events,Energy,Void,primary,511,Lightweight Frame,Draw Time,3,Vault,false,false,false,8,27,Solstice,52,77,68,0,18,0,0,0,69,0,71,0,80,0,557,40,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,Tactile String*,Natural String,Compact Arrow Shaft*,Helical Fletching,Dragonfly*,Repulsor Brace,Transcendent Moment,Destabilizing Rounds*,Archer's Gambit,Demoralize,Dream Work*,Veist Stinger,Kill Tracker,Tier 3: Draw Time*,Achronal Fortunate Star*,Sparks Everlasting*,,
Fortunate Star,591672323,"""6917530194916676231""",,Legendary,5,Combat Bow,,Energy,Void,primary,511,Lightweight Frame,Draw Time,2,Vault,false,false,true,8,27,Solstice,52,77,68,0,18,0,0,0,64,0,71,0,96,0,560,34,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,Agile Bowstring*,Tactile String,Compact Arrow Shaft*,Natural Fletching,Dragonfly*,Transcendent Moment,Archer's Tempo,Sword Logic*,Eye of the Storm,Archer's Gambit,Dream Work*,Veist Stinger,Kill Tracker,Tier 2: Draw Time*,Sparks Everlasting*,,,
Fortunate Star,2631466936,"""6917530194916679080""",,Legendary,5,Combat Bow,events,Energy,Void,primary,511,Lightweight Frame,Accuracy,3,Vault,false,false,false,8,27,Solstice,52,77,68,0,18,0,0,0,64,0,60,0,69,0,567,59,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,Tactile String*,High Tension String,Fiberglass Arrow Shaft*,Natural Fletching,Dragonfly*,Killing Wind,Successful Warm-Up,Destabilizing Rounds*,Eye of the Storm,Demoralize,Dream Work*,Veist Stinger,Kill Tracker,Tier 3: Target Acquisition*,Achronal Fortunate Star*,Sparks Everlasting*,,
Fortunate Star,591672323,"""6917530196844760863""",,Legendary,5,Combat Bow,,Energy,Void,primary,540,Lightweight Frame,Handling,3,Vault,false,false,true,8,27,Solstice,52,77,68,0,18,0,0,0,58,0,71,0,89,0,500,30,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,Elastic String*,Flexible String,Compact Arrow Shaft*,Straight Fletching,Impromptu Ammunition*,Repulsor Brace,Transcendent Moment,Explosive Head*,Destabilizing Rounds,Demoralize,Dream Work*,Veist Stinger,Kill Tracker,Tier 3: Handling*,Sparks Everlasting*,,,
Gallu RR3,617501162,"""6917530189710490957""",,Legendary,0,Sniper Rifle,engram,Energy,Arc,special,300,Adaptive Frame,Handling,1,Warlock(504),true,false,false,5,17,,100,61,70,58,40,0,0,0,42,90,37,4,49,0,0,0,0,0,0,0,0,2,35,0,0,false,0,0,omolon,,,Adaptive Frame*,Arrowhead Brake*,Smallbore,Accurized Rounds*,Extended Mag,Shoot to Loot*,Golden Tricorn*,Omolon Fluid Dynamics*,Kill Tracker,Tier 1: Handling*,,,,,,,,,
Giver's Blessing,970034755,"""6917530189764171144""",,Legendary,1,Auto Rifle,kepler,KineticSlot,Kinetic,primary,310,Rapid-Fire Frame,Handling,3,Vault,true,false,false,8,27,,87,84,18,33,16,0,0,0,53,720,22,57,51,0,0,0,0,0,0,0,0,26,57,0,0,false,0,235,,,,Rapid-Fire Frame*,Arrowhead Brake*,Fluted Barrel,Extended Mag*,Light Mag,Rewind Rounds*,Multikill Clip*,Exhaustive Research*,Kill Tracker,Tier 3: Handling*,,,,,,,,,
Giver's Blessing,970034755,"""6917530195380678836""",,Legendary,1,Auto Rifle,kepler,KineticSlot,Kinetic,primary,539,Rapid-Fire Frame,Handling,1,Vault,true,false,false,8,27,,87,84,18,38,16,0,0,0,53,720,42,47,49,0,0,0,0,0,0,0,0,16,57,0,0,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Armor-Piercing Rounds*,High-Caliber Rounds,Rewind Rounds*,Kinetic Tremors*,Exhaustive Research*,Kill Tracker,Tier 1: Handling*,,,,,,,,,
Giver's Blessing,970034755,"""6917530195394444522""",keep,Legendary,1,Auto Rifle,kepler,KineticSlot,Kinetic,primary,550,Rapid-Fire Frame,Range,4,Vault,false,false,false,8,27,,87,84,18,42,16,0,0,0,63,720,42,47,48,0,0,0,0,0,0,0,0,16,57,0,0,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Hammer-Forged Rifling,High-Caliber Rounds,Ricochet Rounds*,Demolitionist*,Kinetic Tremors*,Exhaustive Research*,Kill Tracker,Tier 4: Range*,,,,,,,,,
Giver's Blessing,970034755,"""6917530195401792484""",infuse,Legendary,2,Auto Rifle,kepler,KineticSlot,Kinetic,primary,550,Rapid-Fire Frame,Reload Speed,1,Vault,false,false,false,8,27,,57,84,18,33,16,0,0,0,58,720,43,54,53,0,0,0,0,0,0,0,0,16,57,0,0,false,0,0,,,,Rapid-Fire Frame*,Fluted Barrel*,Full Bore,Appended Mag*,Armor-Piercing Rounds,Impromptu Ammunition*,Multikill Clip*,Exhaustive Research*,Kill Tracker,Tier 1: Reload Speed*,,,,,,,,,
Giver's Blessing,970034755,"""6917530195401800629""",infuse,Legendary,2,Auto Rifle,kepler,KineticSlot,Kinetic,primary,550,Rapid-Fire Frame,Range,1,Vault,false,false,false,8,27,,87,84,18,39,16,0,0,0,63,720,42,47,48,0,0,0,0,0,0,0,0,16,57,0,0,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Extended Barrel,Ricochet Rounds*,Flared Magwell,Moving Target*,One for All*,Exhaustive Research*,Kill Tracker,Tier 1: Range*,,,,,,,,,
Giver's Blessing,970034755,"""6917530195404063852""",infuse,Legendary,5,Auto Rifle,kepler,KineticSlot,Kinetic,primary,550,Rapid-Fire Frame,Handling,10,Vault,true,false,false,8,27,,57,84,18,65,16,0,0,0,80,720,47,47,58,0,0,0,0,0,0,0,0,16,57,0,0,false,0,856,,,,Rapid-Fire Frame*,Corkscrew Rifling*,Hammer-Forged Rifling,Ricochet Rounds*,Light Mag,Shoot to Loot*,Zen Moment*,Exhaustive Research*,Kill Tracker,Enhanced Range*,Masterworked: Handling*,,,,,,,,
Giver's Blessing,970034755,"""6917530195404070168""",infuse,Legendary,2,Auto Rifle,kepler,KineticSlot,Kinetic,primary,550,Rapid-Fire Frame,Stability,2,Vault,false,false,false,8,27,,57,84,18,43,16,0,0,0,60,720,42,47,43,0,0,0,0,0,0,0,0,16,57,0,0,false,0,0,,,,Rapid-Fire Frame*,Corkscrew Rifling*,Hammer-Forged Rifling,High-Caliber Rounds*,Ricochet Rounds,Impromptu Ammunition*,One for All*,Exhaustive Research*,Kill Tracker,Tier 2: Stability*,,,,,,,,,
Giver's Blessing,970034755,"""6917530195404071643""",infuse,Legendary,1,Auto Rifle,kepler,KineticSlot,Kinetic,primary,550,Rapid-Fire Frame,Reload Speed,1,Vault,false,false,false,8,27,,87,84,18,33,16,0,0,0,53,720,23,57,48,0,0,0,0,0,0,0,0,26,57,0,0,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Full Bore,Extended Mag*,High-Caliber Rounds,Shoot to Loot*,Adrenaline Junkie*,Exhaustive Research*,Kill Tracker,Tier 1: Reload Speed*,,,,,,,,,
Gjallarhorn,1363886209,"""6917530194206472007""",,Exotic,0,Rocket Launcher,30th,Power,Solar,heavy,504,Wolfpack Rounds,Magazine,10,Vault,true,false,false,4,15,,49,76,0,0,20,100,40,0,54,15,67,2,76,0,0,0,0,0,0,0,0,6,50,0,0,false,0,0,,"00002:Prismatic,Void",,Wolfpack Rounds*,Volatile Launch*,Alloy Casing*,Pack Hunter*,Short-Action Stock*,Crucible Tracker,Gjallarhorn Catalyst*,,,,,,,,,,,,
Gnawing Hunger,214545213,"""6917530194336688782""",infuse,Legendary,5,Auto Rifle,gambit,Energy,Void,primary,495,Adaptive Frame,Handling,1,Vault,false,false,false,8,28,,54,65,21,60,16,0,0,0,49,600,57,41,80,0,0,0,0,0,0,0,0,10,55,0,0,false,0,0,,,,Adaptive Frame*,Fluted Barrel*,Smallbore,Accurized Rounds*,Appended Mag,Subsistence*,Demolitionist,Overflow,Rampage*,Target Lock,Dynamic Sway Reduction,Gun and Run*,Kill Tracker,Tier 1: Handling*,Triumphant Pulse*,,,,
Gnawing Hunger,214545213,"""6917530194349986037""",infuse,Legendary,5,Auto Rifle,gambit,Energy,Void,primary,500,Adaptive Frame,Handling,5,Vault,true,false,false,8,28,,64,65,21,48,16,0,0,0,54,600,59,47,64,0,0,0,0,0,0,0,0,10,55,0,0,false,0,194,,,,Adaptive Frame*,Chambered Compensator*,Polygonal Rifling,Appended Mag*,Flared Magwell,Demolitionist*,Enlightened Action,Overflow,Rampage*,Destabilizing Rounds,Target Lock,Gun and Run*,Kill Tracker,Tier 5: Handling*,Triumphant Pulse*,,,,
Gnawing Hunger,214545213,"""6917530194353988938""",keep,Legendary,4,Auto Rifle,gambit,Energy,Void,primary,501,Adaptive Frame,Range,3,Vault,false,false,false,8,28,,64,65,21,62,16,0,0,0,49,600,68,44,54,0,0,0,0,0,0,0,0,10,55,0,0,false,0,0,,,,Adaptive Frame*,Extended Barrel*,Fluted Barrel,Tactical Mag*,Alloy Magazine,Subsistence*,Repulsor Brace,Rampage*,Master of Arms,Gun and Run*,Kill Tracker,Tier 3: Range*,,,,,,,
Gnawing Hunger,214545213,"""6917530196686789990""",,Legendary,5,Auto Rifle,gambit,Energy,Void,primary,550,Adaptive Frame,Handling,10,Hunter(542),true,false,false,8,28,,54,65,21,65,16,0,0,0,64,600,62,41,94,0,0,0,0,0,0,0,0,10,55,0,0,false,0,2126,,00001:Epsilon,,Adaptive Frame*,Fluted Barrel*,Hammer-Forged Rifling,Accurized Rounds*,Appended Mag,Tap the Trigger,Repulsor Brace*,Swashbuckler,Destabilizing Rounds*,Gun and Run*,Kill Tracker,Enhanced Stability*,Masterworked: Handling*,,,,,,
Graviton Lance,3628991658,"""6917530193848728228""",,Exotic,0,Pulse Rifle,,Energy,Void,primary,550,Black Hole,,10,Vault,false,false,false,1,1,,85,60,29,70,17,0,0,0,100,300,57,30,49,0,0,0,0,0,0,0,0,27,60,0,0,false,0,748,,,,Black Hole*,Hammer-Forged Rifling*,Accurized Rounds*,Cosmology*,Fitted Stock*,Kill Tracker,Graviton Lance Catalyst*,,,,,,,,,,,,
Gridskipper,3176697589,"""6917530195854528909""",,Legendary,5,Pulse Rifle,monumentoftriumph,Energy,Void,primary,550,Rapid-Fire Frame,Handling,5,Vault,true,false,false,8,28,,55,80,23,39,18,0,0,0,53,540,37,41,37,0,0,0,0,0,0,0,0,10,55,0,0,false,0,0,,,,Rapid-Fire Frame*,Corkscrew Rifling*,Polygonal Rifling,Appended Mag*,Ricochet Rounds,Lone Wolf*,Repulsor Brace,Demoralize,Frenzy*,Destabilizing Rounds,Desperate Measures,Splicer Surge*,Kill Tracker,Tier 5: Handling*,Triumphant Pulse*,,,,
Gridskipper,3176697589,"""6917530197530946086""",,Legendary,5,Pulse Rifle,monumentoftriumph,Energy,Void,primary,550,Rapid-Fire Frame,Reload Speed,1,Vault,true,false,false,8,28,,65,80,23,51,18,0,0,0,47,540,36,35,18,0,0,0,0,0,0,0,0,10,55,0,0,false,0,0,,,,Rapid-Fire Frame*,Extended Barrel*,Fluted Barrel,High-Caliber Rounds*,Ricochet Rounds,Killing Wind*,Repulsor Brace,Zen Moment,Destabilizing Rounds*,Aggregate Charge,Desperate Measures,Splicer Surge*,Kill Tracker,Tier 1: Reload Speed*,Triumphant Pulse*,,,,
Gridskipper,3176697589,"""6917530198359302231""",,Legendary,5,Pulse Rifle,monumentoftriumph,Energy,Void,primary,550,Rapid-Fire Frame,Range,2,Vault,false,false,false,8,28,,55,80,23,35,18,0,0,0,53,540,35,35,43,0,0,0,0,0,0,0,0,10,55,0,0,false,0,0,,,,Rapid-Fire Frame*,Fluted Barrel*,Hammer-Forged Rifling,Alloy Magazine*,Flared Magwell,Repulsor Brace*,Zen Moment,Demoralize,Multikill Clip*,Destabilizing Rounds,Aggregate Charge,Splicer Surge*,Kill Tracker,Tier 2: Range*,Triumphant Pulse*,,,,
Hailing Confusion,4236134153,"""6917530192227957835""",,Legendary,3,Pulse Rifle,europa,KineticSlot,Stasis,primary,356,Adaptive Frame,Range,1,Vault,true,false,false,8,28,,82,62,29,38,17,0,0,0,57,390,42,42,51,0,0,0,0,0,0,0,0,10,49,0,0,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Corkscrew Rifling,Appended Mag*,High-Caliber Rounds,Rimestealer*,Demolitionist,Headseeker*,Desperado,Winterized Gear*,Kill Tracker,Tier 1: Range*,,,,,,,
Half-Truths,3257091166,"""6917530197102908183""",,Legendary,0,Sword,30th,Power,Arc,heavy,540,Adaptive Frame,Impact,2,Vault,true,false,false,4,15,,0,0,63,0,0,0,0,0,0,0,0,68,0,0,0,0,20,80,0,40,0,0,0,0,0,false,0,17,,00001:Arc,,Adaptive Frame*,Honed Edge*,Jagged Edge,Tempered Edge,Burst Guard*,Enduring Guard,Tireless Blade*,Eager Edge*,Hot Swap*,Kill Tracker,Tier 2: Impact*,,,,,,,,
Hammerhead,850999853,"""6917530193061824568""",,Legendary,3,Machine Gun,,Power,Void,heavy,397,Adaptive Frame,Range,2,Vault,false,false,true,8,28,,100,90,41,62,15,0,0,0,60,450,64,66,60,0,0,0,0,0,0,0,0,6,40,0,0,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Chambered Compensator,Appended Mag*,Light Mag,Rampage*,Impromptu Ammunition,Onslaught*,Killing Tally,Forge's Kin*,Indomitability,Kill Tracker,Tier 2: Range*,,,,,,
